Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2022,2 Mois,42,1,900331.8503434083,-0.09966814965659165
2022,2 Mois,42,2,745170.0475582117,-0.2548299524417883
2022,2 Mois,42,3,680591.082535086,-0.31940891746491407
2022,2 Mois,42,4,607730.9627744914,-0.39226903722550854
2022,2 Mois,42,5,577700.3295868208,-0.4222996704131792
2022,2 Mois,42,6,572438.6842746072,-0.4275613157253928
2022,2 Mois,42,7,591811.9979897648,-0.4081880020102352
2022,2 Mois,42,8,620910.467034784,-0.37908953296521597
2022,2 Mois,42,9,642455.7764424738,-0.35754422355752624
2022,2 Mois,42,10,666362.490883218,-0.333637509116782
2022,2 Mois,42,11,685688.2109349711,-0.3143117890650289
2022,2 Mois,42,12,708048.4483491365,-0.2919515516508635
2022,2 Mois,42,13,748695.558395987,-0.251304441604013
2022,2 Mois,42,14,783840.5588932766,-0.21615944110672336
2022,2 Mois,42,15,819146.3933709923,-0.18085360662900773
2022,3 Mois,63,1,919731.7215702996,-0.08026827842970041
2022,3 Mois,63,2,814936.9911464427,-0.1850630088535573
2022,3 Mois,63,3,755527.9785157758,-0.2444720214842242
2022,3 Mois,63,4,704280.1381106485,-0.2957198618893515
2022,3 Mois,63,5,715876.9972470087,-0.2841230027529913
2022,3 Mois,63,6,761387.188916279,-0.238612811083721
2022,3 Mois,63,7,816668.4088651286,-0.1833315911348714
2022,3 Mois,63,8,866252.4939794671,-0.13374750602053287
2022,3 Mois,63,9,910351.6261327633,-0.08964837386723667
2022,3 Mois,63,10,950055.1042534624,-0.0499448957465376
2022,3 Mois,63,11,977647.0788773393,-0.02235292112266074
2022,3 Mois,63,12,995159.8666259551,-0.004840133374044875
2022,3 Mois,63,13,1022867.7687259113,0.02286776872591134
2022,3 Mois,63,14,1066684.609378219,0.06668460937821896
2022,3 Mois,63,15,1108798.1616361989,0.10879816163619882
2022,6 Mois,126,1,1016602.2588152122,0.016602258815212156
2022,6 Mois,126,2,968707.8033904664,-0.03129219660953364
2022,6 Mois,126,3,1017810.3989494123,0.017810398949412276
2022,6 Mois,126,4,1028523.9742568647,0.028523974256864815
2022,6 Mois,126,5,1026515.2887942751,0.026515288794275227
2022,6 Mois,126,6,1050999.4509994984,0.05099945099949843
2022,6 Mois,126,7,1079640.9726868551,0.07964097268685522
2022,6 Mois,126,8,1107533.876789063,0.10753387678906301
2022,6 Mois,126,9,1138243.4927320029,0.13824349273200287
2022,6 Mois,126,10,1183197.5761379302,0.18319757613793008
2022,6 Mois,126,11,1221025.9140427134,0.22102591404271332
2022,6 Mois,126,12,1269773.0388144273,0.26977303881442727
2022,6 Mois,126,13,1297805.1811996165,0.2978051811996165
2022,6 Mois,126,14,1345753.6433683343,0.34575364336833436
2022,6 Mois,126,15,1412102.1228954326,0.4121021228954327
2022,1 An,252,1,992432.5591932266,-0.007567440806773407
2022,1 An,252,2,1041357.6845535509,0.04135768455355082
2022,1 An,252,3,1095660.2917828579,0.09566029178285795
2022,1 An,252,4,1122089.5874904806,0.1220895874904806
2022,1 An,252,5,1175900.3039466646,0.17590030394666445
2022,1 An,252,6,1251076.1717637796,0.2510761717637795
2022,1 An,252,7,1330889.9620166535,0.33088996201665344
2022,1 An,252,8,1427195.1839894075,0.4271951839894075
2022,1 An,252,9,1540827.65838322,0.5408276583832199
2022,1 An,252,10,1648406.8873923847,0.6484068873923847
2022,1 An,252,11,1766685.7585429244,0.7666857585429243
2022,1 An,252,12,1893010.635215349,0.8930106352153491
2022,1 An,252,13,2021942.7645023759,1.0219427645023758
2022,1 An,252,14,2161597.515535301,1.161597515535301
2022,1 An,252,15,2285893.772642118,1.285893772642118
2022,1.5 Ans,378,1,1058465.9973837454,0.05846599738374536
2022,1.5 Ans,378,2,1026622.3117974421,0.026622311797442233
2022,1.5 Ans,378,3,1070314.149225166,0.07031414922516599
2022,1.5 Ans,378,4,1155655.3145812477,0.15565531458124782
2022,1.5 Ans,378,5,1271380.1010680797,0.27138010106807964
2022,1.5 Ans,378,6,1418578.2091856329,0.41857820918563293
2022,1.5 Ans,378,7,1590442.5106835556,0.5904425106835556
2022,1.5 Ans,378,8,1787803.4488403932,0.7878034488403933
2022,1.5 Ans,378,9,1960361.4614456524,0.9603614614456524
2022,1.5 Ans,378,10,2114104.228930082,1.1141042289300822
2022,1.5 Ans,378,11,2277927.4544595378,1.2779274544595376
2022,1.5 Ans,378,12,2434164.045041804,1.434164045041804
2022,1.5 Ans,378,13,2593068.06676341,1.59306806676341
2022,1.5 Ans,378,14,2760175.618327409,1.760175618327409
2022,1.5 Ans,378,15,2954474.9317988767,1.9544749317988765
2022,2 Ans,504,1,1061865.7281558223,0.061865728155822364
2022,2 Ans,504,2,1141581.333134786,0.14158133313478594
2022,2 Ans,504,3,1224871.934655725,0.22487193465572508
2022,2 Ans,504,4,1323370.1061993458,0.3233701061993457
2022,2 Ans,504,5,1410162.3016610586,0.4101623016610585
2022,2 Ans,504,6,1514663.8708184469,0.5146638708184468
2022,2 Ans,504,7,1669003.9695266811,0.6690039695266812
2022,2 Ans,504,8,1805412.337089877,0.8054123370898771
2022,2 Ans,504,9,1903773.2796081519,0.9037732796081519
2022,2 Ans,504,10,1979032.6384237625,0.9790326384237624
2022,2 Ans,504,11,2045028.9917913422,1.0450289917913422
2022,2 Ans,504,12,2115370.918920771,1.115370918920771
2022,2 Ans,504,13,2170477.229007843,1.170477229007843
2022,2 Ans,504,14,2203162.500670924,1.2031625006709237
2022,2 Ans,504,15,2237472.238473514,1.2374722384735142
2022,3 Ans,756,1,1038663.5032595925,0.03866350325959256
2022,3 Ans,756,2,1171634.6923619218,0.17163469236192186
2022,3 Ans,756,3,1279726.6005192918,0.27972660051929177
2022,3 Ans,756,4,1314097.1448167637,0.31409714481676376
2022,3 Ans,756,5,1355845.9003438118,0.3558459003438119
2022,3 Ans,756,6,1435113.6415917687,0.4351136415917687
2022,3 Ans,756,7,1512641.3976780532,0.5126413976780533
2022,3 Ans,756,8,1557835.5627426882,0.5578355627426883
2022,3 Ans,756,9,1580915.9812623304,0.5809159812623303
2022,3 Ans,756,10,1590956.4739681205,0.5909564739681206
2022,3 Ans,756,11,1598677.0818337444,0.5986770818337444
2022,3 Ans,756,12,1574852.5630714777,0.5748525630714776
2022,3 Ans,756,13,1546243.6590574647,0.5462436590574646
2022,3 Ans,756,14,1501948.753066176,0.5019487530661761
2022,3 Ans,756,15,1464047.2714785489,0.46404727147854885
2023,2 Mois,42,1,898565.9286673199,-0.10143407133268001
2023,2 Mois,42,2,809984.258542574,-0.19001574145742595
2023,2 Mois,42,3,722605.213965264,-0.277394786034736
